Coin,Timeframe,Trades,Sharp Ratio,Return,Max. Drawdown
BANANA/USDC:USDC,1h,0,nan,0.0,-0.0
BANANA/USDC:USDC,4h,32,0.545324182809051,147.85667168,-18.691696964144768
BCH/USDC:USDC,30m,79,0.9390562596479242,439.6380239999999,-8.413345394599926
BCH/USDC:USDC,1h,21,1.06947714928419,141.20188880000003,-13.684757911696888
BCH/USDC:USDC,4h,5,1.583954225661072,55.55034320000001,-9.018636384232448
BIGTIME/USDC:USDC,30m,56,0.785780297454985,234.6455735175999,-10.304759435640287
BIGTIME/USDC:USDC,1h,40,0.8929457479916229,259.2088950055998,-9.892672072750752
BIGTIME/USDC:USDC,4h,44,1.0032884772081148,453.5228075760004,-5.047404514074627
BLUR/USDC:USDC,30m,61,1.0772604413575784,83.75568426800004,-17.13070705560614
BLUR/USDC:USDC,1h,53,1.2239433439009668,194.9209509584,-8.42834613328437
BLUR/USDC:USDC,4h,3,1.3204664594678797,41.40843361599997,-10.769756420407695
BLZ/USDC:USDC,30m,55,0.6601005074288661,299.76741998000017,-14.748070172685356
BLZ/USDC:USDC,1h,29,1.1808577571210277,168.8909105264,-14.893782900409247
BLZ/USDC:USDC,4h,7,1.0204805493232452,52.75992447919998,-18.805936973496607
BNB/USDC:USDC,30m,99,1.4893161731741453,111.72829120000046,-7.485884662384013
BNB/USDC:USDC,1h,25,2.193826383850488,74.56740000000002,-5.690436652602471
BNB/USDC:USDC,4h,21,1.9682909148257262,86.754348,-6.842612586076912
BNT/USDC:USDC,30m,95,0.8850930451195246,82.4248373679998,-14.741628853856648
BNT/USDC:USDC,1h,51,1.2767586374060222,131.26959052479995,-9.7234112723379
BNT/USDC:USDC,4h,7,2.003037976144346,41.930073889600045,-15.258727585661713
