,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-04-02 10:00:00,,,,,,6.646,6.7764,6.591,6.7177,2490.8
2024-04-02 11:00:00,6.7013,6.7611,6.5706,6.7019,7030.1,,,,,
2024-04-02 11:00:00,,,,,,6.7013,6.7611,6.5706,6.7019,7030.1
2024-04-02 12:00:00,,,,,,6.7266,6.9329,6.6443,6.7238,12032.9
2024-04-02 12:00:00,6.7266,6.9329,6.6443,6.7238,12032.9,,,,,
2024-04-02 13:00:00,,,,,,6.7155,6.8328,6.6515,6.7929,10026.2
2024-04-02 13:00:00,6.7155,6.8328,6.6515,6.7929,10026.2,,,,,
2024-04-02 14:00:00,,,,,,6.7957,6.9285,6.7451,6.8292,28638.0
2024-04-02 14:00:00,6.7957,6.9285,6.7451,6.8292,28638.0,,,,,
2024-04-02 15:00:00,,,,,,6.833,6.9529,6.7407,6.7538,4428.0
2024-04-02 15:00:00,6.833,6.9529,6.7407,6.7538,4428.0,,,,,
2024-04-02 16:00:00,,,,,,6.7531,6.7963,6.4328,6.5051,16144.9
2024-04-02 16:00:00,6.7531,6.7963,6.4328,6.5051,16144.9,,,,,
2024-04-02 17:00:00,,,,,,6.5042,6.5922,6.4471,6.5372,5091.2
2024-04-02 17:00:00,6.5042,6.5922,6.4471,6.5372,5091.2,,,,,
2024-04-02 18:00:00,,,,,,6.534,6.5917,6.4586,6.5402,4561.5
2024-04-02 18:00:00,6.534,6.5917,6.4586,6.5402,4561.5,,,,,
2024-04-02 19:00:00,,,,,,6.5386,6.5993,6.5186,6.5186,1290.1
2024-04-02 19:00:00,6.5386,6.5993,6.5186,6.5186,1290.1,,,,,
2024-04-02 20:00:00,,,,,,6.5045,6.5545,6.4827,6.5415,1924.3
2024-04-02 20:00:00,6.5045,6.5545,6.4827,6.5415,1924.3,,,,,
2024-04-02 21:00:00,,,,,,6.5408,6.5475,6.4418,6.4826,692.9
